Date & Time,Source IP,Destination IP,Source MAC,Destination MAC,Protocol,Src Port,Dst Port
2020-02-19 19:24:40,10.0.2.11,10.0.2.3,08:00:27:e5:f1:90,08:00:27:02:68:f4,ICMP,0,0,0
2020-02-19 19:24:40,10.0.2.3,10.0.2.11,08:00:27:02:68:f4,08:00:27:e5:f1:90,ICMP,0,0,0
2020-02-19 19:24:41,10.0.2.11,10.0.2.3,08:00:27:e5:f1:90,08:00:27:02:68:f4,ICMP,0,0,0
2020-02-19 19:24:41,10.0.2.3,10.0.2.11,08:00:27:02:68:f4,08:00:27:e5:f1:90,ICMP,0,0,0
2020-02-19 19:24:42,10.0.2.11,10.0.2.3,08:00:27:e5:f1:90,08:00:27:02:68:f4,ICMP,0,0,0
2020-02-19 19:24:42,10.0.2.3,10.0.2.11,08:00:27:02:68:f4,08:00:27:e5:f1:90,ICMP,0,0,0
2020-02-19 19:24:43,10.0.2.11,10.0.2.3,08:00:27:e5:f1:90,08:00:27:02:68:f4,ICMP,0,0,0
2020-02-19 19:24:43,10.0.2.3,10.0.2.11,08:00:27:02:68:f4,08:00:27:e5:f1:90,ICMP,0,0,0
2020-02-19 19:27:01,10.0.2.11,10.0.2.1,08:00:27:e5:f1:90,52:54:00:12:35:00,ICMP,0,0,0
2020-02-19 19:27:01,10.0.2.1,10.0.2.11,52:54:00:12:35:00,08:00:27:e5:f1:90,ICMP,0,0,0
2020-02-19 19:27:27,10.0.2.2,10.0.2.11,52:54:00:12:35:00,08:00:27:e5:f1:90,ICMP,0,0,0
2020-02-19 19:27:28,10.0.2.11,10.0.2.2,08:00:27:e5:f1:90,52:54:00:12:35:00,ICMP,0,0,0
